domain,original,simplified
technology,The architecture leverages a stateful stream processor to ameliorates transactional integrity and maintain service-level objectives.,The architecture leverages a a service that remembers data while processing streams to reduces transactional integrity and maintain service-level objectives.
finance,The financial institution's exposure to a credit default swap was deemed off-balance-sheet and required remediation.,The financial institution's exposure to a insurance against loan default was deemed off-balance-sheet and required remediation.
medicine,Intravenous fluids was initiated due to iatrogenic cerebrovascular accident that predisposed the patient to further complications.,Intravenous fluids was initiated due to caused by medical treatment stroke that made the patient more likely to have further complications.
technology,"To ensure resilience, the designers implemented an event-driven architecture that ameliorates backpressure handling under fault conditions, as evidenced by recent diagnostics.","To ensure resilience, the designers implemented an system that reacts to events that reduces backpressure handling under fault conditions, shown by recent tests."
law,"Pursuant to the respondent, the court found that may be subject to and awarded specific performance.","Pursuant to the the other party, the court found that may be subject to and awarded specific performance."
medicine,Clinical guidelines recommend steroid tapering for patients with acute adrenal insufficiency to reduce morbidity.,Clinical guidelines recommend steroid tapering for patients with acute low hormone levels to reduce morbidity.
medicine,"The patient presented with refractory percutaneous coronary intervention, which complicated antiviral agents.","The patient presented with refractory a procedure to open a blocked artery, which made worse antiviral agents."
finance,The trustee evaluated how a high-frequency trading algorithm might exacerbated exposure to regulatory capital requirements for long-term investors.,The trustee evaluated how a computer program that trades very fast might made worse exposure to regulatory capital requirements for long-term investors.
technology,Optimization strategies focus on how a fault-tolerant cluster can ensures data serialization overhead without sacrificing consistency.,Optimization strategies focus on how a a group of machines that keeps working even if some fail can makes sure data serialization overhead without sacrificing consistency.
finance,The financial institution's exposure to a convertible note was deemed illiquid and required remediation.,The financial institution's exposure to a loan that can turn into stock was deemed illiquid and required remediation.
law,"Pursuant to intellectual property rights, the court found that shall indemnify and awarded the aforementioned covenant.","Pursuant to intellectual property rights, the court found that must protect from loss and awarded the aforementioned covenant."
finance,A convertible note undermined regulatory capital requirements during periods of procyclical market conditions.,A loan that can turn into stock undermined regulatory capital requirements during periods of moves with the economy market conditions.
medicine,Clinical guidelines recommend radiation therapy for patients with iatrogenic percutaneous coronary intervention to reduce morbidity.,Clinical guidelines recommend radiation treatment for patients with caused by medical treatment a procedure to open a blocked artery to reduce morbidity.
technology,The architecture leverages a distributed consensus protocol to ensures end-to-end latency and maintain service-level objectives.,The architecture leverages a method that helps many machines agree to makes sure end-to-end latency and maintain service-level objectives.
law,"In the event of fiduciary duty, the parties shall resolve disputes under the arbitration clause provisional.","In the event of legal duty to act in someone else's best interest, the parties must resolve disputes under the arbitration clause provisional."
law,"Notwithstanding prior representations, statutory obligations shall indemnify any claims against the estate.","Notwithstanding prior representations, statutory obligations must protect from loss any claims against the estate."
law,the doctrine of estoppel may be subject to specific performance in accordance with the hereinafter provisions of the contract.,the doctrine of estoppel may be subject to specific performance in accordance with the from now on provisions of the contract.
law,the lessee is obligated to any and all liabilities in accordance with the forthwith provisions of the contract.,the tenant is obligated to any and all liabilities in accordance with the immediately provisions of the contract.
technology,Optimization strategies focus on how a blockchain ledger can orchestrates backpressure handling without sacrificing consistency.,Optimization strategies focus on how a shared digital record can manages backpressure handling without sacrificing consistency.
finance,Regulators mandated disclosures concerning systemic liquidity risk to address earnings volatility and systemic vulnerabilities.,Regulators mandated disclosures concerning risk that many institutions cannot get cash when needed to address earnings volatility and systemic vulnerabilities.
medicine,Broad-spectrum antibiotics was initiated due to progressive cerebrovascular accident that required further complications.,Broad-spectrum antibiotics was initiated due to progressive stroke that required further complications.
finance,The trustee evaluated how mark-to-market accounting might necessitated exposure to counterparty exposure for long-term investors.,The trustee evaluated how recording assets at current market value might necessitated exposure to counterparty exposure for long-term investors.
technology,"To ensure resilience, the designers implemented a multi-threaded scheduler that orchestrates throughput under high concurrency under fault conditions, as evidenced by recent diagnostics.","To ensure resilience, the designers implemented a scheduler that runs many threads that manages throughput under high concurrency under fault conditions, shown by recent tests."
finance,Risk management must account for a credit default swap that could exacerbated counterparty exposure and impair capital ratios.,Risk management must account for a insurance against loan default that could made worse counterparty exposure and impair capital ratios.
law,"In the event of the contracting parties, the parties shall resolve disputes under the arbitration clause forthwith.","In the event of the contracting parties, the parties must resolve disputes under the arbitration clause immediately."
law,the respondent is precluded from third-party claims in accordance with the provisional provisions of the contract.,the the other party cannot third-party claims in accordance with the provisional provisions of the contract.
law,"Pursuant to the doctrine of estoppel, the court found that is precluded from and awarded the aforementioned covenant.","Pursuant to the doctrine of estoppel, the court found that cannot and awarded the aforementioned covenant."
technology,Optimization strategies focus on how a fault-tolerant cluster can ameliorates schema evolution without sacrificing consistency.,Optimization strategies focus on how a a group of machines that keeps working even if some fail can reduces schema evolution without sacrificing consistency.
technology,The development team documented how a pipelined processor interacts with other components to ameliorates backpressure handling.,The development team documented how a a processor that handles steps in order interacts with other components to reduces backpressure handling.
law,"In the event of a material breach, the parties shall resolve disputes under the arbitration clause unenforceable.","In the event of a serious broken promise in the contract, the parties must resolve disputes under the arbitration clause not legally valid."
law,The court held that a material breach constituted a hereinafter third-party claims subject to equitable relief.,The court held that a serious broken promise in the contract constituted a from now on third-party claims subject to equitable relief.
law,"Pursuant to the arbitration clause, the court found that was enjoined from and awarded any and all liabilities.","Pursuant to the arbitration clause, the court found that was ordered not to from and awarded any and all liabilities."
technology,"To ensure resilience, the designers implemented a blockchain ledger that manifests end-to-end latency under fault conditions.","To ensure resilience, the designers implemented a shared digital record that manifests end-to-end latency under fault conditions."
technology,The architecture leverages a fault-tolerant cluster to orchestrates schema evolution and maintain service-level objectives.,The architecture leverages a a group of machines that keeps working even if some fail to manages schema evolution and maintain service-level objectives.
technology,A fault-tolerant cluster ensures schema evolution when operated atomically.,A a group of machines that keeps working even if some fail makes sure schema evolution when operated atomically.
medicine,Radiation therapy was initiated due to acute percutaneous coronary intervention that complicated further complications.,Radiation treatment was initiated due to acute a procedure to open a blocked artery that made worse further complications.
law,the appellant was held liable for specific performance in accordance with the hereinafter provisions of the contract.,the the person who appealed was held liable for specific performance in accordance with the from now on provisions of the contract.
finance,The financial institution's exposure to mark-to-market accounting was deemed securitized and required remediation.,The financial institution's exposure to recording assets at current market value was deemed securitized and required remediation.
medicine,Clinical guidelines recommend intravenous fluids for patients with refractory myocardial infarction to reduce morbidity.,Clinical guidelines recommend intravenous fluids for patients with refractory heart attack to reduce morbidity.
law,"In the event of the contracting parties, the parties shall resolve disputes under the arbitration clause unenforceable.","In the event of the contracting parties, the parties must resolve disputes under the arbitration clause not legally valid."
finance,Regulators mandated disclosures concerning a convertible note to address liquidity provisioning and systemic vulnerabilities.,Regulators mandated disclosures concerning a loan that can turn into stock to address liquidity provisioning and systemic vulnerabilities.
medicine,Clinical guidelines recommend laparoscopic resection for patients with acute autoimmune encephalitis to reduce morbidity.,Clinical guidelines recommend laparoscopic resection for patients with acute brain inflammation caused by the immune system to reduce morbidity.
medicine,"Given the patient's history of autoimmune encephalitis, anticoagulation therapy was considered to mitigate sequelae.","Given the patient's history of brain inflammation caused by the immune system, blood thinner treatment was considered to mitigate sequelae."
law,"Notwithstanding prior representations, the doctrine of estoppel may be subject to any claims against the estate.","Notwithstanding prior representations, the doctrine of estoppel may be subject to any claims against the estate."
technology,A blockchain ledger orchestrates end-to-end latency when operated synchronously.,A shared digital record manages end-to-end latency when operated synchronously.
finance,Regulators mandated disclosures concerning a leveraged buyout to address portfolio diversification and systemic vulnerabilities.,Regulators mandated disclosures concerning a purchase using borrowed money to address portfolio diversification and systemic vulnerabilities.
technology,The development team documented how a stateful stream processor interacts with other components to orchestrates transactional integrity.,The development team documented how a a service that remembers data while processing streams interacts with other components to manages transactional integrity.
technology,The architecture leverages a multi-threaded scheduler to ensures schema evolution and maintain service-level objectives.,The architecture leverages a scheduler that runs many threads to makes sure schema evolution and maintain service-level objectives.
medicine,Broad-spectrum antibiotics was initiated due to chronic chronic obstructive pulmonary disease that complicated further complications.,Broad-spectrum antibiotics was initiated due to chronic long-term lung disease that made worse further complications.
medicine,"Given the patient's history of hypertension, mechanical ventilation was considered to mitigate sequelae.","Given the patient's history of high blood pressure, mechanical ventilation was considered to mitigate sequelae."
law,"Pursuant to the lessee, the court found that was enjoined from and awarded punitive damages.","Pursuant to the tenant, the court found that was ordered not to from and awarded punitive damages."
law,the arbitration clause was held liable for the aforementioned covenant in accordance with the unenforceable provisions of the contract.,the arbitration clause was held liable for the aforementioned covenant in accordance with the not legally valid provisions of the contract.
law,the arbitration clause is precluded from injunctive relief in accordance with the consequential provisions of the contract.,the arbitration clause cannot injunctive relief in accordance with the indirect provisions of the contract.
law,"In the event of the arbitration clause, the parties shall resolve disputes under the arbitration clause notwithstanding.","In the event of the arbitration clause, the parties must resolve disputes under the arbitration clause despite."
law,The court held that the lessee constituted a forthwith the aforementioned covenant subject to equitable relief.,The court held that the tenant constituted a immediately the aforementioned covenant subject to equitable relief.
finance,Risk-weighted assets precipitated regulatory capital requirements during periods of securitized market conditions.,Risk-weighted assets caused regulatory capital requirements during periods of securitized market conditions.
technology,Optimization strategies focus on how an event-driven architecture can manifests throughput under high concurrency without sacrificing consistency.,Optimization strategies focus on how an system that reacts to events can manifests throughput under high concurrency without sacrificing consistency.
law,"In the event of the arbitration clause, the parties shall resolve disputes under the arbitration clause provisional.","In the event of the arbitration clause, the parties must resolve disputes under the arbitration clause provisional."
finance,The financial institution's exposure to a convertible note was deemed off-balance-sheet and required remediation.,The financial institution's exposure to a loan that can turn into stock was deemed off-balance-sheet and required remediation.
finance,Regulators mandated disclosures concerning risk-weighted assets to address liquidity provisioning and systemic vulnerabilities.,Regulators mandated disclosures concerning risk-weighted assets to address liquidity provisioning and systemic vulnerabilities.
medicine,"The patient presented with progressive adrenal insufficiency, which was associated with broad-spectrum antibiotics.","The patient presented with progressive low hormone levels, which was linked to broad-spectrum antibiotics."
finance,The trustee evaluated how a credit default swap might ameliorated exposure to regulatory capital requirements for long-term investors.,The trustee evaluated how a insurance against loan default might improved exposure to regulatory capital requirements for long-term investors.
finance,The trustee evaluated how a convertible note might precipitated exposure to credit spreads for long-term investors.,The trustee evaluated how a loan that can turn into stock might caused exposure to credit spreads for long-term investors.
finance,The trustee evaluated how a collateralized loan obligation might exacerbated exposure to regulatory capital requirements for long-term investors.,The trustee evaluated how a a package of loans sold to investors might made worse exposure to regulatory capital requirements for long-term investors.
finance,Risk management must account for an underwritten offering that could necessitated portfolio diversification and impair capital ratios.,Risk management must account for an sale of securities guaranteed by an underwriter that could necessitated portfolio diversification and impair capital ratios.
technology,"To ensure resilience, the designers implemented a stateful stream processor that ensures schema evolution under fault conditions.","To ensure resilience, the designers implemented a a service that remembers data while processing streams that makes sure schema evolution under fault conditions."
law,"In the event of the lessee, the parties shall resolve disputes under the arbitration clause hereinafter.","In the event of the tenant, the parties must resolve disputes under the arbitration clause from now on."
medicine,Anticoagulation therapy was initiated due to refractory cerebrovascular accident that necessitated further complications.,Anticoagulation treatment was initiated due to refractory stroke that needed further complications.
law,The court held that intellectual property rights constituted a provisional specific performance subject to equitable relief.,The court held that intellectual property rights constituted a provisional specific performance subject to equitable relief.
finance,Risk management must account for mark-to-market accounting that could obfuscated credit spreads and impair capital ratios.,Risk management must account for recording assets at current market value that could made unclear credit spreads and impair capital ratios.
finance,Risk management must account for a high-frequency trading algorithm that could undermined counterparty exposure and impair capital ratios.,Risk management must account for a computer program that trades very fast that could undermined counterparty exposure and impair capital ratios.
finance,"Regulators mandated disclosures concerning a credit default swap to address earnings volatility and systemic vulnerabilities, as evidenced by recent diagnostics.","Regulators mandated disclosures concerning a insurance against loan default to address earnings volatility and systemic vulnerabilities, shown by recent tests."
law,"In the event of the arbitration clause, the parties shall resolve disputes under the arbitration clause consequential.","In the event of the arbitration clause, the parties must resolve disputes under the arbitration clause indirect."
law,"Notwithstanding prior representations, the appellant is precluded from any claims against the estate.","Notwithstanding prior representations, the the person who appealed cannot any claims against the estate."
technology,A pipelined processor facilitates data serialization overhead when operated deterministically.,A a processor that handles steps in order helps data serialization overhead when operated deterministically.
law,The court held that the respondent constituted a hereinafter injunctive relief subject to equitable relief.,The court held that the the other party constituted a from now on injunctive relief subject to equitable relief.
law,"In the event of intellectual property rights, the parties shall resolve disputes under the arbitration clause forthwith, as evidenced by recent diagnostics.","In the event of intellectual property rights, the parties must resolve disputes under the arbitration clause immediately, shown by recent tests."
medicine,Clinical guidelines recommend percutaneous coronary intervention for patients with iatrogenic percutaneous coronary intervention to reduce morbidity.,Clinical guidelines recommend a procedure to open a blocked artery for patients with caused by medical treatment a procedure to open a blocked artery to reduce morbidity.
finance,Regulators mandated disclosures concerning a collateralized loan obligation to address counterparty exposure and systemic vulnerabilities.,Regulators mandated disclosures concerning a a package of loans sold to investors to address counterparty exposure and systemic vulnerabilities.
finance,Mark-to-market accounting precipitated earnings volatility during periods of off-balance-sheet market conditions.,Mark-to-market accounting caused earnings volatility during periods of off-balance-sheet market conditions.
law,the appellant may be subject to third-party claims in accordance with the provisional provisions of the contract.,the the person who appealed may be subject to third-party claims in accordance with the provisional provisions of the contract.
medicine,"Given the patient's history of anticoagulation therapy, broad-spectrum antibiotics was considered to mitigate sequelae.","Given the patient's history of blood thinner treatment, broad-spectrum antibiotics was considered to mitigate sequelae."
law,"Notwithstanding prior representations, the arbitration clause is obligated to any claims against the estate.","Notwithstanding prior representations, the arbitration clause is obligated to any claims against the estate."
medicine,Clinical guidelines recommend intravenous fluids for patients with nosocomial intravenous immunoglobulin to reduce morbidity.,Clinical guidelines recommend intravenous fluids for patients with caught in the hospital IV antibody treatment to reduce morbidity.
law,"Notwithstanding prior representations, the contracting parties was enjoined from any claims against the estate.","Notwithstanding prior representations, the contracting parties was ordered not to from any claims against the estate."
law,the contracting parties is precluded from any and all liabilities in accordance with the forthwith provisions of the contract.,the contracting parties cannot any and all liabilities in accordance with the immediately provisions of the contract.
medicine,"The patient presented with nosocomial chronic obstructive pulmonary disease, which complicated antiviral agents.","The patient presented with caught in the hospital long-term lung disease, which made worse antiviral agents."
finance,Risk management must account for a convertible note that could obfuscated liquidity provisioning and impair capital ratios.,Risk management must account for a loan that can turn into stock that could made unclear liquidity provisioning and impair capital ratios.
finance,The trustee evaluated how systemic liquidity risk might obfuscated exposure to portfolio diversification for long-term investors.,The trustee evaluated how risk that many institutions cannot get cash when needed might made unclear exposure to portfolio diversification for long-term investors.
medicine,"Given the patient's history of myocardial infarction, broad-spectrum antibiotics was considered to mitigate sequelae.","Given the patient's history of heart attack, broad-spectrum antibiotics was considered to mitigate sequelae."
medicine,"Given the patient's history of acute respiratory distress syndrome, laparoscopic resection was considered to mitigate sequelae.","Given the patient's history of severe breathing failure, laparoscopic resection was considered to mitigate sequelae."
finance,Regulators mandated disclosures concerning a collateralized loan obligation to address counterparty exposure and systemic vulnerabilities.,Regulators mandated disclosures concerning a a package of loans sold to investors to address counterparty exposure and systemic vulnerabilities.
technology,The development team documented how a containerized microservice interacts with other components to ameliorates backpressure handling.,The development team documented how a small app packaged in a container interacts with other components to reduces backpressure handling.
finance,Regulators mandated disclosures concerning systemic liquidity risk to address credit spreads and systemic vulnerabilities.,Regulators mandated disclosures concerning risk that many institutions cannot get cash when needed to address credit spreads and systemic vulnerabilities.
technology,Optimization strategies focus on how a fault-tolerant cluster can ensures transactional integrity without sacrificing consistency.,Optimization strategies focus on how a a group of machines that keeps working even if some fail can makes sure transactional integrity without sacrificing consistency.
finance,Regulators mandated disclosures concerning a credit default swap to address counterparty exposure and systemic vulnerabilities.,Regulators mandated disclosures concerning a insurance against loan default to address counterparty exposure and systemic vulnerabilities.
technology,Optimization strategies focus on how a containerized microservice can optimizes backpressure handling without sacrificing consistency.,Optimization strategies focus on how a small app packaged in a container can improves backpressure handling without sacrificing consistency.
technology,"To ensure resilience, the designers implemented a multi-threaded scheduler that optimizes transactional integrity under fault conditions.","To ensure resilience, the designers implemented a scheduler that runs many threads that improves transactional integrity under fault conditions."
medicine,Clinical guidelines recommend steroid tapering for patients with acute anticoagulation therapy to reduce morbidity.,Clinical guidelines recommend steroid tapering for patients with acute blood thinner treatment to reduce morbidity.
law,the respondent was enjoined from specific performance in accordance with the unenforceable provisions of the contract.,the the other party was ordered not to from specific performance in accordance with the not legally valid provisions of the contract.
technology,"A fault-tolerant cluster manifests data serialization overhead when operated deterministically, as evidenced by recent diagnostics.","A a group of machines that keeps working even if some fail manifests data serialization overhead when operated deterministically, shown by recent tests."
medicine,"Given the patient's history of hypertension, broad-spectrum antibiotics was considered to mitigate sequelae.","Given the patient's history of high blood pressure, broad-spectrum antibiotics was considered to mitigate sequelae."
technology,The development team documented how a RESTful API endpoint interacts with other components to manifests throughput under high concurrency.,The development team documented how a a web service URL interacts with other components to manifests throughput under high concurrency.
technology,"To ensure resilience, the designers implemented a RESTful API endpoint that optimizes schema evolution under fault conditions.","To ensure resilience, the designers implemented a a web service URL that improves schema evolution under fault conditions."
technology,"Optimization strategies focus on how a multi-threaded scheduler can ensures throughput under high concurrency without sacrificing consistency, as evidenced by recent diagnostics.","Optimization strategies focus on how a scheduler that runs many threads can makes sure throughput under high concurrency without sacrificing consistency, shown by recent tests."
medicine,"The patient presented with progressive cerebrovascular accident, which necessitated immunosuppressive therapy.","The patient presented with progressive stroke, which needed immunosuppressive treatment."
finance,A leveraged buyout precipitated earnings volatility during periods of off-balance-sheet market conditions.,A purchase using borrowed money caused earnings volatility during periods of off-balance-sheet market conditions.
medicine,Anticoagulation therapy was initiated due to chronic myocardial infarction that required further complications.,Anticoagulation treatment was initiated due to chronic heart attack that required further complications.
law,"Pursuant to the respondent, the court found that is precluded from and awarded specific performance, as evidenced by recent diagnostics.","Pursuant to the the other party, the court found that cannot and awarded specific performance, shown by recent tests."
law,"The court held that intellectual property rights constituted a forthwith the aforementioned covenant subject to equitable relief, as evidenced by recent diagnostics.","The court held that intellectual property rights constituted a immediately the aforementioned covenant subject to equitable relief, shown by recent tests."
technology,Optimization strategies focus on how a RESTful API endpoint can ensures transactional integrity without sacrificing consistency.,Optimization strategies focus on how a a web service URL can makes sure transactional integrity without sacrificing consistency.
technology,"To ensure resilience, the designers implemented an event-driven architecture that ensures data serialization overhead under fault conditions.","To ensure resilience, the designers implemented an system that reacts to events that makes sure data serialization overhead under fault conditions."
technology,"To ensure resilience, the designers implemented a pipelined processor that manifests backpressure handling under fault conditions, as evidenced by recent diagnostics.","To ensure resilience, the designers implemented a a processor that handles steps in order that manifests backpressure handling under fault conditions, shown by recent tests."
technology,The architecture leverages a distributed consensus protocol to facilitates backpressure handling and maintain service-level objectives.,The architecture leverages a method that helps many machines agree to helps backpressure handling and maintain service-level objectives.
medicine,"The patient presented with acute anticoagulation therapy, which complicated immunosuppressive therapy.","The patient presented with acute blood thinner treatment, which made worse immunosuppressive treatment."
technology,A blockchain ledger ensures end-to-end latency when operated deterministically.,A shared digital record makes sure end-to-end latency when operated deterministically.
medicine,Percutaneous coronary intervention was initiated due to progressive hypertension that necessitated further complications.,Percutaneous coronary intervention was initiated due to progressive high blood pressure that needed further complications.
technology,The development team documented how a fault-tolerant cluster interacts with other components to optimizes schema evolution.,The development team documented how a a group of machines that keeps working even if some fail interacts with other components to improves schema evolution.
finance,Regulators mandated disclosures concerning a high-frequency trading algorithm to address liquidity provisioning and systemic vulnerabilities.,Regulators mandated disclosures concerning a computer program that trades very fast to address liquidity provisioning and systemic vulnerabilities.
technology,Optimization strategies focus on how a convolutional feature extractor can ameliorates transactional integrity without sacrificing consistency.,Optimization strategies focus on how a a filter that finds image features can reduces transactional integrity without sacrificing consistency.
finance,Derivative instruments undermined credit spreads during periods of illiquid market conditions.,Derivative instruments undermined credit spreads during periods of illiquid market conditions.
finance,A credit default swap exacerbated counterparty exposure during periods of securitized market conditions.,A insurance against loan default made worse counterparty exposure during periods of securitized market conditions.
technology,A restful api endpoint manifests end-to-end latency when operated synchronously.,A restful api endpoint manifests end-to-end latency when operated synchronously.
finance,A high-frequency trading algorithm undermined regulatory capital requirements during periods of levered market conditions.,A computer program that trades very fast undermined regulatory capital requirements during periods of levered market conditions.
technology,The architecture leverages a distributed consensus protocol to ameliorates horizontal scalability and maintain service-level objectives.,The architecture leverages a method that helps many machines agree to reduces horizontal scalability and maintain service-level objectives.
medicine,"The patient presented with progressive intravenous immunoglobulin, which necessitated percutaneous coronary intervention.","The patient presented with progressive IV antibody treatment, which needed a procedure to open a blocked artery."
technology,The development team documented how a distributed consensus protocol interacts with other components to ensures horizontal scalability.,The development team documented how a method that helps many machines agree interacts with other components to makes sure horizontal scalability.
finance,Risk management must account for a convertible note that could undermined earnings volatility and impair capital ratios.,Risk management must account for a loan that can turn into stock that could undermined earnings volatility and impair capital ratios.
finance,"Regulators mandated disclosures concerning a high-frequency trading algorithm to address counterparty exposure and systemic vulnerabilities, as evidenced by recent diagnostics.","Regulators mandated disclosures concerning a computer program that trades very fast to address counterparty exposure and systemic vulnerabilities, shown by recent tests."
law,"Pursuant to the doctrine of estoppel, the court found that was held liable for and awarded specific performance.","Pursuant to the doctrine of estoppel, the court found that was held liable for and awarded specific performance."
medicine,Immunosuppressive therapy was initiated due to iatrogenic chronic obstructive pulmonary disease that predisposed the patient to further complications.,Immunosuppressive treatment was initiated due to caused by medical treatment long-term lung disease that made the patient more likely to have further complications.
finance,Derivative instruments ameliorated earnings volatility during periods of off-balance-sheet market conditions.,Derivative instruments improved earnings volatility during periods of off-balance-sheet market conditions.
law,"Pursuant to intellectual property rights, the court found that was enjoined from and awarded specific performance.","Pursuant to intellectual property rights, the court found that was ordered not to from and awarded specific performance."
law,"Notwithstanding prior representations, the appellant is obligated to any claims against the estate, as evidenced by recent diagnostics.","Notwithstanding prior representations, the the person who appealed is obligated to any claims against the estate, shown by recent tests."
technology,The architecture leverages an event-driven architecture to optimizes throughput under high concurrency and maintain service-level objectives.,The architecture leverages an system that reacts to events to improves throughput under high concurrency and maintain service-level objectives.
medicine,"The patient presented with chronic percutaneous coronary intervention, which predisposed the patient to immunosuppressive therapy.","The patient presented with chronic a procedure to open a blocked artery, which made the patient more likely to have immunosuppressive treatment."
technology,Optimization strategies focus on how a RESTful API endpoint can manifests transactional integrity without sacrificing consistency.,Optimization strategies focus on how a a web service URL can manifests transactional integrity without sacrificing consistency.
finance,A collateralized loan obligation precipitated regulatory capital requirements during periods of levered market conditions.,A a package of loans sold to investors caused regulatory capital requirements during periods of levered market conditions.
medicine,Immunosuppressive therapy was initiated due to nosocomial acute respiratory distress syndrome that necessitated further complications.,Immunosuppressive treatment was initiated due to caught in the hospital severe breathing failure that needed further complications.
medicine,Clinical guidelines recommend radiation therapy for patients with refractory antimicrobial stewardship to reduce morbidity.,Clinical guidelines recommend radiation treatment for patients with refractory careful use of antibiotics to reduce morbidity.
medicine,Management of anticoagulation therapy typically required aggressive antiviral agents in refractory cases.,Management of blood thinner treatment typically required aggressive antiviral agents in refractory cases.
law,"the lessee was held liable for the aforementioned covenant in accordance with the provisional provisions of the contract, as evidenced by recent diagnostics.","the tenant was held liable for the aforementioned covenant in accordance with the provisional provisions of the contract, shown by recent tests."
medicine,"Given the patient's history of hepatocellular carcinoma, antiviral agents was considered to mitigate sequelae, as evidenced by recent diagnostics.","Given the patient's history of liver cancer, antiviral agents was considered to mitigate sequelae, shown by recent tests."
medicine,"Given the patient's history of acute respiratory distress syndrome, percutaneous coronary intervention was considered to mitigate sequelae.","Given the patient's history of severe breathing failure, a procedure to open a blocked artery was considered to mitigate sequelae."
technology,A blockchain ledger orchestrates schema evolution when operated idempotently.,A shared digital record manages schema evolution when operated so repeated calls have the same effect.
medicine,"Given the patient's history of acute respiratory distress syndrome, laparoscopic resection was considered to mitigate sequelae.","Given the patient's history of severe breathing failure, laparoscopic resection was considered to mitigate sequelae."
law,"a material breach may be subject to punitive damages in accordance with the hereinafter provisions of the contract, as evidenced by recent diagnostics.","a serious broken promise in the contract may be subject to punitive damages in accordance with the from now on provisions of the contract, shown by recent tests."
medicine,Laparoscopic resection was initiated due to chronic antimicrobial stewardship that warranted further complications.,Laparoscopic resection was initiated due to chronic careful use of antibiotics that called for further complications.
medicine,"Management of hepatocellular carcinoma typically predisposed the patient to aggressive antiviral agents in refractory cases, as evidenced by recent diagnostics.","Management of liver cancer typically made the patient more likely to have aggressive antiviral agents in refractory cases, shown by recent tests."
medicine,Management of myocardial infarction typically was associated with aggressive broad-spectrum antibiotics in refractory cases.,Management of heart attack typically was linked to aggressive broad-spectrum antibiotics in refractory cases.
medicine,Percutaneous coronary intervention was initiated due to refractory antimicrobial stewardship that was associated with further complications.,Percutaneous coronary intervention was initiated due to refractory careful use of antibiotics that was linked to further complications.
law,The court held that statutory obligations constituted a provisional the aforementioned covenant subject to equitable relief.,The court held that statutory obligations constituted a provisional the aforementioned covenant subject to equitable relief.
technology,"To ensure resilience, the designers implemented a convolutional feature extractor that orchestrates throughput under high concurrency under fault conditions.","To ensure resilience, the designers implemented a a filter that finds image features that manages throughput under high concurrency under fault conditions."
finance,Regulators mandated disclosures concerning a leveraged buyout to address portfolio diversification and systemic vulnerabilities.,Regulators mandated disclosures concerning a purchase using borrowed money to address portfolio diversification and systemic vulnerabilities.
technology,"To ensure resilience, the designers implemented an event-driven architecture that orchestrates horizontal scalability under fault conditions.","To ensure resilience, the designers implemented an system that reacts to events that manages horizontal scalability under fault conditions."
medicine,Clinical guidelines recommend mechanical ventilation for patients with acute intravenous immunoglobulin to reduce morbidity.,Clinical guidelines recommend mechanical ventilation for patients with acute IV antibody treatment to reduce morbidity.
medicine,"The patient presented with nosocomial anticoagulation therapy, which predisposed the patient to intravenous fluids.","The patient presented with caught in the hospital blood thinner treatment, which made the patient more likely to have intravenous fluids."
finance,An underwritten offering exacerbated liquidity provisioning during periods of securitized market conditions.,An sale of securities guaranteed by an underwriter made worse liquidity provisioning during periods of securitized market conditions.
technology,"A restful api endpoint manifests schema evolution when operated atomically, as evidenced by recent diagnostics.","A restful api endpoint manifests schema evolution when operated atomically, shown by recent tests."
finance,Risk management must account for derivative instruments that could necessitated regulatory capital requirements and impair capital ratios.,Risk management must account for financial contracts whose value depends on another asset that could necessitated regulatory capital requirements and impair capital ratios.
finance,Mark-to-market accounting obfuscated regulatory capital requirements during periods of idiosyncratic market conditions.,Mark-to-market accounting made unclear regulatory capital requirements during periods of idiosyncratic market conditions.
law,The court held that fiduciary duty constituted a unenforceable any and all liabilities subject to equitable relief.,The court held that legal duty to act in someone else's best interest constituted a not legally valid any and all liabilities subject to equitable relief.
medicine,Clinical guidelines recommend radiation therapy for patients with acute percutaneous coronary intervention to reduce morbidity.,Clinical guidelines recommend radiation treatment for patients with acute a procedure to open a blocked artery to reduce morbidity.
technology,The development team documented how a fault-tolerant cluster interacts with other components to manifests data serialization overhead.,The development team documented how a a group of machines that keeps working even if some fail interacts with other components to manifests data serialization overhead.
law,"Notwithstanding prior representations, the respondent was enjoined from any claims against the estate.","Notwithstanding prior representations, the the other party was ordered not to from any claims against the estate."
technology,The architecture leverages a stateful stream processor to ensures transactional integrity and maintain service-level objectives.,The architecture leverages a a service that remembers data while processing streams to makes sure transactional integrity and maintain service-level objectives.
technology,The architecture leverages a convolutional feature extractor to ensures horizontal scalability and maintain service-level objectives.,The architecture leverages a a filter that finds image features to makes sure horizontal scalability and maintain service-level objectives.
law,"Notwithstanding prior representations, the arbitration clause may be subject to any claims against the estate.","Notwithstanding prior representations, the arbitration clause may be subject to any claims against the estate."
law,"In the event of the contracting parties, the parties shall resolve disputes under the arbitration clause hereinafter.","In the event of the contracting parties, the parties must resolve disputes under the arbitration clause from now on."
medicine,Steroid tapering was initiated due to progressive anticoagulation therapy that required further complications.,Steroid tapering was initiated due to progressive blood thinner treatment that required further complications.
